CODI_PROGRAMA,CODI_EXPEDIENT,CODI_UPC_UD,CREDITS,CURS,QUAD,SUPERA,NOTA_PROF,NOTA_NUM_AVAL,NOTA_NUM_DEF,GRUP_CLASSE
753,228144,240224,4.5,2010,2,S,7.5,7.5,7.5,24
753,227691,240224,4.5,2010,2,S,6.3,6.3,6.3,24
753,228517,240224,4.5,2010,2,S,5,5,5,24
753,227667,240224,4.5,2010,2,N,4.3,4.3,4.3,24
752,228600,240023,6,2010,2,N,4.6,4.6,4.6,11
752,228367,240023,6,2010,2,N,3.2,3.2,3.2,11
752,227298,240023,6,2010,2,S,5.3,5.3,5.3,11
752,227327,240023,6,2010,2,S,5,5,5,11
752,227320,240023,6,2010,2,N,2.1,2.1,2.1,11
752,228005,240011,6,2010,1,S,6.2,6.2,6.2,11
752,226889,240011,6,2010,1,S,5.5,5.5,5.5,13
752,227505,240011,6,2010,1,N,2.5,2.5,2.5,13
752,227433,240011,6,2010,1,S,7.3,7.3,7.3,31
752,227757,240011,6,2010,1,S,6.1,6.1,6.1,42
752,228572,240011,6,2010,1,S,5,5,5,42
752,233204,240011,6,2010,1,N,4,4,4,42
752,226680,240011,6,2010,1,S,6.8,6.8,6.8,43
752,227413,240011,6,2010,1,N,2.6,2.6,2.6,43
752,227451,240011,6,2010,1,S,6.6,6.6,6.6,43
752,227351,240011,6,2010,1,S,8.1,8.1,8.1,23
752,228660,240011,6,2010,1,S,5,5,5,23
752,226679,240011,6,2010,1,S,5.5,5.5,5.5,41
752,227142,240011,6,2010,1,S,5,5,5,41
752,227518,240011,6,2010,1,S,7.7,7.7,7.7,41
752,227519,240011,6,2010,1,S,6,6,6,41
752,227590,240011,6,2010,1,S,10,10,10,41
752,227200,240011,6,2010,1,S,5.8,5.8,5.8,42
752,227686,240011,6,2010,1,N,3.5,3.5,3.5,42
752,228540,240011,6,2010,1,N,4.5,4.5,4.5,62
753,229519,240011,6,2010,1,N,0.4,0.4,0.4,62
752,229949,240011,6,2010,1,N,1.5,1.5,1.5,62
753,230848,240011,6,2010,1,S,5.4,5.4,5.4,62
753,231192,240011,6,2010,1,N,4.3,4.3,4.3,62
753,231810,240011,6,2010,1,N,0,0,0,62
752,227654,240011,6,2010,1,N,0,0,0,63
752,227856,240011,6,2010,1,S,6.4,6.4,6.4,63
752,229211,240011,6,2010,1,S,6,6,6,53
754,231184,240011,6,2010,1,N,3.1,3.1,3.1,53
753,227130,240011,6,2010,1,N,0,0,0,61
753,227593,240011,6,2010,1,N,0,0,0,61
753,230679,240011,6,2010,1,N,2.7,2.7,2.7,61
753,227002,240011,6,2010,1,N,3.7,3.7,3.7,62
752,228476,240011,6,2010,1,N,3,3,3,62
753,228565,240011,6,2010,1,N,1.6,1.6,1.6,52
752,229794,240011,6,2010,1,S,6,6,6,52
752,230006,240011,6,2010,1,S,9.5,9.5,9.5,52
753,232652,240011,6,2010,1,N,0,0,0,52
752,227286,240011,6,2010,1,S,5,5,5,53
753,247420,240011,6,2011,1,S,5,5,5,
753,247420,240025,7.5,2011,1,S,5,5,5,
752,227073,240025,7.5,2011,2,S,,,,CONV
752,227012,240011,6,2010,1,S,6.1,6.1,6.1,21
752,227712,240011,6,2010,1,N,4.4,4.4,4.4,21
752,226673,240021,6,2010,2,S,6.2,6.2,6.2,
752,227199,240012,6,2010,1,S,7,7,7,72
752,228971,240012,6,2010,1,N,4.1,4.1,4.1,72
752,230686,240012,6,2010,1,S,9.5,9.5,9.5,72
752,230843,240012,6,2010,1,S,7,7,7,72
752,230992,240012,6,2010,1,S,6.3,6.3,6.3,72
752,231441,240012,6,2010,1,N,4.1,4.1,4.1,72
752,228179,240012,6,2010,1,S,6.4,6.4,6.4,21
752,228599,240012,6,2010,1,N,4.3,4.3,4.3,12
752,228601,240012,6,2010,1,S,5.9,5.9,5.9,12
752,227447,240012,6,2010,1,N,4.5,4.5,4.5,13
752,227505,240012,6,2010,1,S,5.2,5.2,5.2,13
752,228126,240012,6,2010,1,S,8.2,8.2,8.2,13
752,230210,240012,6,2010,1,S,5,5,5,13
752,227816,240011,6,2010,1,S,9,9,9,21
752,228091,240011,6,2010,1,S,6.6,6.6,6.6,21
752,232347,240011,6,2010,1,N,4.5,4.5,4.5,21
