HSCHOOL,AC_YEAR,AC_GRADE,Linear Algebra,Calculus I,Basic Mechanics,Chemistry I,Fundamentals of Informatics,Geometry,Calculus II,Basic Thermodynamics,Chemistry II,Engineering Drawing,MEAN,STD,PASSED,FAILED,NUM_SUBJ,Maths,Physics,Chemistry,Informatics,MEAN_CRED,ENROL_ECTS,PASS_ECTS,ALPHA,RANK_MEAN,NUM_STUD,RANKING
LA MERCED - BARCELONA,2015,12.264,7.1,5.1,3.5,6.1,2.8,5.0,5.0,5.4,5.0,3.8,4.88,1.26,7.0,3.0,10.0,5.55,4.45,5.55,3.3,5.26,72.0,46.5,0.646,3.397,1,101
LA SALLE GRÀCIA,2011,9.978,6.6,6.5,6.6,6.0,6.2,7.0,7.9,7.3,8.7,7.5,7.03,0.83,10.0,0.0,10.0,7.0,6.95,7.35,6.85,7.0,60.0,60.0,1.0,7.0,1,16
LA SALLE GRÀCIA,2013,10.15,5.0,6.2,6.4,7.2,7.5,4.6,4.1,4.0,3.7,5.1,5.38,1.36,6.0,4.0,10.0,4.975,5.2,5.45,6.3,5.97,88.5,60.0,0.678,4.047,1,134
EL CLOT,2011,9.9,5.5,5.7,5.15,5.8,5.75,6.05,6.6,3.7,6.55,4.95,5.575,1.225,7.5,2.5,10.0,5.962,4.425,6.175,5.35,6.01,75.75,60.0,0.794,4.782,2,114
EL CLOT,2012,10.593,4.9,4.933,6.3,4.733,5.833,4.867,3.533,3.2,4.8,4.733,4.773,1.463,5.667,4.0,9.667,4.558,5.1,4.767,5.283,5.217,83.5,46.0,0.631,3.739,3,155
EL CLOT,2013,11.604,5.2,7.0,7.3,8.5,5.9,9.2,5.6,5.3,5.6,8.7,6.83,1.53,10.0,0.0,10.0,6.75,6.3,7.05,7.3,6.907,60.0,60.0,1.0,6.907,1,23
EL CLOT,2014,10.106,6.0,5.2,5.0,6.2,7.0,5.0,5.2,5.6,5.7,5.4,5.63,0.63,10.0,0.0,10.0,5.35,5.3,5.95,6.2,5.623,60.0,60.0,1.0,5.623,1,48
EL CLOT,2015,10.678,4.6,3.6,3.367,6.0,1.933,3.367,1.833,3.05,4.067,5.45,3.723,1.71,3.333,6.0,9.333,3.35,3.233,5.033,3.217,3.843,65.5,28.5,0.435,1.804,3,158
INST.LA SEDETA,2011,9.78,5.8,7.15,5.7,7.15,6.45,6.4,6.9,6.35,9.15,6.85,6.79,1.205,10.0,0.0,10.0,6.562,6.025,8.15,6.65,6.732,60.0,60.0,1.0,6.732,2,26
INST.LA SEDETA,2012,10.876,4.1,6.1,6.1,5.9,5.5,4.2,5.0,3.1,5.0,6.9,5.19,1.14,7.0,3.0,10.0,4.85,4.6,5.45,6.2,5.938,78.0,60.0,0.769,4.567,1,110
INST.LA SEDETA,2014,11.58,3.7,5.1,5.0,5.4,5.1,2.5,2.2,2.8,2.2,5.5,3.95,1.41,5.0,5.0,10.0,3.375,3.9,3.8,5.3,6.013,88.5,60.0,0.678,4.076,1,109
INST.LA SEDETA,2015,9.87,0.0,0.8,1.4,0.0,0.6,,,,,,0.56,0.59,0.0,5.0,5.0,0.4,1.4,0.0,0.6,0.28,30.0,0.0,0.0,0.0,1,199
INST.VIC,2010,11.342,5.1,5.6,5.0,5.1,3.4,5.0,5.0,5.0,5.8,5.4,5.04,0.64,9.0,1.0,10.0,5.175,5.0,5.45,4.4,5.19,66.0,60.0,0.909,4.718,1,95
INST.VIC,2011,10.12,4.3,4.4,4.1,4.3,3.3,3.6,5.9,6.0,5.8,7.2,4.89,1.25,4.0,6.0,10.0,4.55,5.05,5.05,5.25,6.065,108.0,60.0,0.556,3.369,1,149
INST.VIC,2013,12.85,6.8,6.5,7.4,9.7,9.1,7.5,5.5,6.0,8.3,5.9,7.27,1.41,10.0,0.0,10.0,6.575,6.7,9.0,7.5,7.21,60.0,60.0,1.0,7.21,1,11
INST.MEDITERRANIA-MASNOU,2011,10.082,6.9,4.2,4.1,3.6,1.6,7.5,5.5,7.1,6.8,6.8,5.41,1.95,6.0,4.0,10.0,6.025,5.6,5.2,4.2,6.65,84.0,60.0,0.714,4.75,1,116
INST.MEDITERRANIA-MASNOU,2012,11.559,6.9,6.125,6.15,7.75,7.225,5.2,4.05,6.3,6.875,5.7,6.228,1.4,9.0,1.0,10.0,5.569,6.225,7.312,6.462,6.396,66.0,60.0,0.916,5.877,4,43
INST.MEDITERRANIA-MASNOU,2013,10.926,5.4,4.2,6.0,8.9,6.5,5.5,5.3,3.2,3.7,6.0,5.47,1.61,7.0,3.0,10.0,5.1,4.6,6.3,6.25,6.265,76.5,60.0,0.784,4.914,1,89
INST.MEDITERRANIA-MASNOU,2015,10.048,7.7,2.8,2.0,8.1,9.0,1.5,0.8,0.5,5.9,6.1,4.44,3.26,5.0,5.0,10.0,3.2,1.25,7.0,7.55,4.445,60.0,30.0,0.5,2.223,1,148
NATZARET,2011,11.88,6.6,7.6,6.8,5.7,1.2,6.8,7.2,6.4,5.9,5.4,5.96,1.8,9.0,1.0,10.0,7.05,6.6,5.8,3.3,6.328,66.0,60.0,0.909,5.752,1,69
INST.LLUIS DE REQUESENS,2011,10.418,7.0,5.2,5.7,5.2,6.5,6.2,6.7,5.5,5.4,7.3,6.07,0.77,10.0,0.0,10.0,6.275,5.6,5.3,6.9,6.118,60.0,60.0,1.0,6.118,1,48
INST.LLUIS DE REQUESENS,2012,10.544,3.0,2.1,3.7,5.5,7.2,3.5,0.0,3.3,2.6,4.2,3.51,1.93,2.0,8.0,10.0,2.15,3.5,4.05,5.7,5.768,120.0,60.0,0.5,2.884,1,179
ESCOLA PIA DE TERRASSA,2011,10.096,6.7,7.0,5.0,5.1,2.0,6.0,6.8,8.6,8.1,5.1,6.04,1.88,9.0,1.0,10.0,6.625,6.8,6.6,3.55,6.495,66.0,60.0,0.909,5.905,1,60
INST.PIUS FONT I QUER,2011,10.356,6.0,5.6,3.1,5.0,4.0,6.7,7.2,5.0,6.9,1.4,5.09,1.83,7.0,3.0,10.0,6.375,4.05,5.95,2.7,6.55,79.5,60.0,0.755,4.943,1,102
INST.PIUS FONT I QUER,2012,10.496,3.7,2.5,4.7,3.7,7.0,0.7,0.0,3.4,1.9,0.4,2.8,2.16,1.0,9.0,10.0,1.725,4.05,2.8,3.7,4.842,114.0,43.5,0.382,1.848,1,189
