HSCHOOL,AC_GRADE,Linear Algebra,Calculus I,Basic Mechanics,Chemistry I,Fundamentals of Informatics,Geometry,Calculus II,Basic Thermodynamics,Chemistry II,Engineering Drawing,MEAN,STD,PASSED,FAILED,NUM_SUBJ,Maths,Physics,Chemistry,Informatics,MEAN_CRED,ENROL_ECTS,PASS_ECTS,ALPHA,RANK_MEAN,NUM_STUD,RANKING
SAGRADA FAMÍLIA - ARQUIMIDES,10.719,4.433,3.758,4.572,5.381,4.486,4.528,3.558,3.23,5.372,4.46,4.374,1.461,4.972,4.611,9.583,4.12,3.803,5.376,4.285,5.044,84.5,48.0,0.561,3.135,2.167,147.667
"SANT GERVASI, ESCOLA",10.652,5.646,5.055,5.184,5.59,6.955,5.934,5.753,5.345,5.285,5.488,5.557,1.526,6.956,2.378,9.333,5.406,5.036,5.264,6.222,5.627,69.917,51.25,0.74,4.448,2.167,97.833
INST.XXV OLIMPÍADA,11.561,3.5,5.4,7.0,7.9,9.5,7.25,4.15,5.55,7.5,7.45,6.52,2.035,8.5,1.5,10.0,5.075,6.275,7.7,8.475,7.118,72.0,60.0,0.857,6.159,2.0,38.0
INST.SERRA DE MIRAMAR,11.612,5.05,4.8,4.5,4.15,5.9,3.4,3.7,2.65,4.1,2.6,4.085,1.515,4.0,6.0,10.0,4.238,3.575,4.125,4.25,3.932,63.0,23.25,0.388,2.395,2.0,141.0
INST.ALELLA,11.161,5.734,7.116,6.734,6.616,7.216,6.034,6.95,5.7,4.684,7.767,6.455,1.259,8.834,1.166,10.0,6.459,6.216,5.65,7.492,6.79,68.75,60.0,0.905,6.229,2.0,44.5
"LA MIRANDA, INSTITUCIO",11.364,5.9,6.434,6.2,6.334,6.5,4.466,5.85,5.516,5.984,4.716,5.79,1.366,7.5,2.5,10.0,5.662,5.858,6.158,5.608,6.529,75.25,60.0,0.816,5.414,2.0,64.5
LA SALLE BARCELONETA,11.741,5.45,5.6,5.4,6.1,8.35,4.3,4.2,4.2,5.65,6.05,5.53,1.345,8.0,2.0,10.0,4.887,4.8,5.875,7.2,5.54,60.0,48.0,0.8,4.602,2.0,56.0
JESUÏTES GRÀCIA-KOSTKA,10.917,5.29,5.75,4.82,5.545,4.495,5.18,5.425,4.135,5.565,5.345,5.084,1.55,6.7,2.8,9.5,5.259,4.437,5.59,4.875,5.476,68.7,49.8,0.709,4.205,2.0,101.6
SALESIANS SANT VICENC DELS HOR,8.615,5.55,5.05,5.9,4.45,9.2,3.2,5.6,2.2,5.8,6.7,5.365,2.095,6.0,4.0,10.0,4.85,4.05,5.125,7.95,6.308,92.25,60.0,0.656,4.144,2.0,125.0
LA SALLE CONGRÉS,10.318,4.906,4.606,4.711,5.972,5.061,4.784,4.434,5.517,5.933,5.422,5.042,1.267,6.278,2.722,9.0,4.414,4.828,5.953,5.242,5.544,69.833,53.0,0.771,4.376,2.0,90.667
LA SALLE-TARRAGONA,11.773,5.938,5.658,5.746,6.029,6.475,5.254,5.825,6.171,6.229,5.675,5.9,1.163,8.0,2.0,10.0,5.669,5.958,6.129,6.075,6.266,73.812,60.0,0.848,5.39,2.0,70.0
INST.M JOSEP SERRAT I BONASTRE,10.132,5.35,2.8,3.25,3.1,7.15,5.0,2.3,2.8,,,3.93,2.085,2.5,4.5,7.0,3.762,3.025,3.1,7.15,2.98,57.0,18.0,0.328,1.225,2.0,174.0
DOMINIQUES L'ENSENYAMENT BCN,11.071,5.15,5.55,4.65,6.2,3.85,4.95,3.85,4.85,7.0,7.3,4.975,1.275,6.0,3.0,9.0,4.875,4.75,6.225,3.975,4.824,60.0,39.0,0.65,3.686,2.0,89.0
"JOVIAT, ESCOLA",11.261,3.45,5.0,5.3,6.0,6.2,7.0,4.8,5.7,4.15,5.65,5.325,1.27,7.5,2.5,10.0,5.062,5.5,5.075,5.925,5.941,74.25,60.0,0.81,4.81,2.0,95.0
INST.RAMON BERENGUER IV-AMP.,11.382,4.85,6.45,7.0,6.85,7.6,5.5,6.55,6.15,7.1,3.05,6.11,1.45,8.5,1.5,10.0,5.838,6.575,6.975,5.325,6.554,69.75,60.0,0.878,5.744,2.0,54.0
SAGRADA FAMILIA - SABADELL,11.345,4.6,5.55,5.6,6.4,5.4,4.05,2.45,2.75,6.35,4.55,4.77,1.6,5.5,4.5,10.0,4.162,4.175,6.375,4.975,5.694,96.75,60.0,0.624,3.553,2.0,164.0
EL CLOT,10.576,5.24,5.287,5.423,6.247,5.283,5.697,4.553,4.17,5.343,5.847,5.306,1.312,7.3,2.5,9.8,5.194,4.872,5.795,5.47,5.52,68.95,50.9,0.772,4.571,2.0,99.6
INST.LLIÇÀ D'AMUNT,11.275,4.05,3.95,6.75,6.45,5.4,5.9,4.55,5.2,4.0,7.1,5.335,1.655,7.0,3.0,10.0,4.612,5.975,5.225,6.25,6.105,80.25,60.0,0.759,4.651,2.0,103.0
ESCOLA PIA DE CALELLA,10.859,4.75,5.05,5.4,5.3,6.3,5.75,5.55,4.35,6.35,6.0,5.48,1.075,7.5,2.5,10.0,5.275,4.875,5.825,6.15,5.981,81.0,60.0,0.794,4.798,2.0,110.0
SALESIÀ DE SANT JOSEP,11.38,7.4,5.55,6.1,5.85,6.75,5.2,5.4,5.5,5.35,5.2,5.83,0.895,9.5,0.5,10.0,5.888,5.8,5.6,5.975,5.966,63.0,60.0,0.954,5.707,2.0,43.0
INST.PERE CALDERS,11.108,6.634,6.267,6.166,6.916,6.4,6.416,6.116,6.166,6.625,7.825,6.464,1.543,8.666,1.0,9.666,6.358,6.166,6.258,6.6,6.667,61.0,55.0,0.902,6.212,2.0,27.5
INST.RAMON BERENGUER IV-S.COL,12.245,6.7,5.45,6.25,8.05,7.5,6.05,5.65,5.3,5.7,7.1,6.375,1.365,8.5,1.5,10.0,5.962,5.775,6.875,7.3,6.898,68.25,60.0,0.88,6.062,2.0,33.0
