Nom,Nom naturalesa,Adreça,Codi postal,Comarca,Codi comarca,Municipi,Codi municipi
INST.JOAQUIM BAU,Públic,"Av. Estadi, 14",43500,Baix Ebre,9,Tortosa,43155
INST.VALL D'HEBRON,Públic,"Pg. de la Vall d'Hebron, 93-95",8035,Barcelonès,13,Barcelona,8019
SAGRAT COR-DIPUTACIÓ,Privat,"C. Diputació, 326",8009,Barcelonès,13,Barcelona,8019
SANT JOSEP - SANT SADURNI,Privat,"C. Germans de Sant Gabriel, 2-7",8770,Alt Penedès,3,Sant Sadurní d'Anoia,8240
INST.BISBE SIVILLA,Públic,"C. Valldebanador, 39",8370,Maresme,21,Calella,8035
INST.JOAN BRUDIEU,Públic,"C. Dr. Iglesias Navarri, 27",25700,Alt Urgell,4,La Seu d'Urgell,25203
INST.LLUíS DOMENECH I MONTANER,Públic,"C. Maspujol, 21-23",43206,Baix Camp,8,Reus,43123
LA SALLE MONTCADA,Privat,"Pg. de la Salle, 1",8110,Vallès Occidental,40,Montcada i Reixac,8125
ESCOLA AUGUSTA,Privat,"C. Rector Ubach, 56-60",8021,Barcelonès,13,Barcelona,8019
STEL.LA,Privat,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
VIROLAI,Privat,"C. Ceuta, s/n",8032,Barcelonès,13,Barcelona,8019
MARE DE DÉU DELS ÀNGELS,Privat,"C. Sagrera, 80-82",8027,Barcelonès,13,Barcelona,8019
SANTA TERESA DE LISIEUX,Privat,"C. Déu i Mata, 67",8029,Barcelonès,13,Barcelona,8019
"HAMELIN, INTERNACIONAL LAIE",Privat,"Rda. 8 de març, 176-178-180",8390,Maresme,21,Montgat,8126
INST.JULIO ANTONIO,Públic,"C. Comarques Catalanes, 103",43740,Ribera d'Ebre,30,Móra d'Ebre,43093
MARE DÉU DEL CARME-TARRAGONA,Privat,"Av. Estanislau Figueres, 31",43002,Tarragonès,36,Tarragona,43148
INST.RAMON COLL I RODÉS,Públic,"C. Senyora de Rossell, 28-30",17310,Selva,34,Lloret de Mar,17095
INST.CIUTAT DE BALAGUER,Públic,"C. Urgell, 94",25600,Noguera,23,Balaguer,25040
INST.LA FERRERIA,Públic,"C. del Progrés, 3",8110,Vallès Occidental,40,Montcada i Reixac,8125
INST.SERRALLARGA,Públic,"C. Joan Benejam, 1",17300,Selva,34,Blanes,17023
INST.RONDA,Públic,"C. Henri Dunant, 3",25003,Segrià,33,Lleida,25120
ESCOLÀPIES LLURIA-BARCELONA,Privat,"C. Roger de Llúria, 64",8009,Barcelonès,13,Barcelona,8019
INST.ILLA DE RODES,Públic,"Ctra. de les Arenes, 57",17480,Alt Empordà,2,Roses,17152
INST.ALEXANDRE DEULOFEU,Públic,"C. Joaquim Cusí Fortunet, 3",17600,Alt Empordà,2,Figueres,17066
INST.FORT PIUS,Públic,"C. Ausias March, 78",8013,Barcelonès,13,Barcelona,8019
LA SALLE-TARRAGONA,Privat,"C. Sant Benilde, 15",43006,Tarragonès,36,Tarragona,43148
LA SALLE GIRONA,Privat,"C. Germà Agustí, 25",17244,Gironès,20,Cassà de la Selva,17044
"MIRASAN, COL.LEGI",Privat,"C. Sabadell, 13",25005,Segrià,33,Lleida,25120
INST.SAMUEL GILI I GAYA,Públic,"C. Ton Sirera, s/n",25002,Segrià,33,Lleida,25120
SAGRAT COR - EL VENDRELL,Privat,"Ctra. de Valls, 26",43700,Baix Penedès,12,El Vendrell,43163
SANTA TERESA DE JESÚS,Privat,"C. Llobregós, 130-132",8032,Barcelonès,13,Barcelona,8019
INST.MARTÍ L'HUMÀ,Públic,"Av. Dr. Folch, s/n",43400,Conca de Barberà,16,Montblanc,43086
LESTONNAC-L'ENSENYANÇA TARRAGO,Privat,"C. de l'Arc de Sant Llorenç, 2",43003,Tarragonès,36,Tarragona,43148
INST.CAMBRILS,Públic,"Pl. Ajuntament, 7",43850,Baix Camp,8,Cambrils,43038
INST.SERRA DE MARINA,Públic,"C. Mossèn Camil Rosell, 96-102",8921,Barcelonès,13,Santa Coloma de Gramenet,8245
INST.VALERIA PUJOL I BOSCH,Públic,"Pg. de Can Balet, s/n",8338,Maresme,21,Premià de Dalt,8230
EDUCEM II,Privat,"Pl. Maluquer i Salvador, 19",8401,Vallès Oriental,41,Granollers,8096
INST.NARCÍS OLLER,Públic,"C. Francesc Gumà Ferran, 1",43800,Alt Camp,1,Valls,43161
INST.LA SEGARRA,Públic,"C. President Macià, s/n",25200,Segarra,32,Cervera,25072
MONTCLAR,Privat,"Antiga Ctra. N-II, s/n",8719,Anoia,6,Jorba,8103
GARBI PERE VERGES-ESPLUGUES,Privat,"C. Sant Mateu, 34-38",8950,Baix Llobregat,11,Esplugues de Llobregat,8077
INST.CORBERA DE LLOBREGAT,Públic,"C. Andròmeda, 2",8757,Baix Llobregat,11,Corbera de Llobregat,8072
INST.SALVADOR VILASECA,Públic,"C. Misericòrdia, 12 bis",43205,Baix Camp,8,Reus,43123
VEDRUNA-BALAGUER,Privat,"C. Sanahuja, 39",25600,Noguera,23,Balaguer,25040
MARISTES MONTSERRAT,Privat,"Av. Catalunya, 3",25002,Segrià,33,Lleida,25120
INST.ANGELETA FERRER I SENSAT,Públic,"C. Granollers, 43",8190,Vallès Occidental,40,Sant Cugat del Vallès,8205
PADRE DAMIAN-SAGRADOS CORAZONE,Privat,"Av. Vallvidrera, 8-10-12-14",8017,Barcelonès,13,Barcelona,8019
INST.MONTGRÍ,Públic,"C. Santa Caterina, 137",17257,Baix Empordà,10,Torroella de Montgrí,17199
INST.ARRAONA,Públic,"C. Príncep de Viana, s/n",8207,Vallès Occidental,40,Sabadell,8187
EUROPA INTERNATIONAL SCHOOL,Privat,"C. Pla del Vinyet, s/n",8190,Vallès Occidental,40,Sant Cugat del Vallès,8205
VIRGEN DE LA SALUD,Privat,"Pl. de Catalunya, 8",8980,Baix Llobregat,11,Sant Feliu de Llobregat,8211
INST.RIBERA DEL SIÓ,Públic,"C. Petronel·la, 1",25310,Urgell,38,Agramunt,25003
INST.MANUEL CARRASCO I FORMIG.,Públic,"C. Santa Fe, 2",8031,Barcelonès,13,Barcelona,8019
DOLMEN,Privat,"C. Riera Blanca, 184-186",8902,Barcelonès,13,L'Hospitalet de Llobregat,8101
"JAUME VILADOMS, CE",Privat,"C. Pare Rodamilans, 98-104",8202,Vallès Occidental,40,Sabadell,8187
INST.MANUEL DE PEDROLO,Públic,"Av. Tarragona, 2",25300,Urgell,38,Tàrrega,25217
MESTRAL - JORBA,Privat,"Antiga Ctra. N-II, s/n",8719,Anoia,6,Jorba,8103
LA MERCE - MARTORELL,Privat,"C. Mur, 36, 38 i 40",8760,Baix Llobregat,11,Martorell,8114
ABAT OLIBA LORETO,Privat,"Av. Pearson, 22-26",8034,Barcelonès,13,Barcelona,8019
JOSEP TOUS,Privat,"C. Begur, 10-20",8028,Barcelonès,13,Barcelona,8019
GEM,Privat,"C. Ávila, 9-45",8304,Maresme,21,Mataró,8121
GARBI PERE VERGES-BADALONA,Privat,"Av. de les Palmeres, 5",8916,Barcelonès,13,Badalona,8015
INST.MENÉNDEZ Y PELAYO,Públic,"Via Augusta, 140",8006,Barcelonès,13,Barcelona,8019
INST.NARCÍS MONTURIOL - BCN,Públic,"C. Harmonia, s/n",8035,Barcelonès,13,Barcelona,8019
ESCOLA PIA DE SABADELL,Privat,"C. Escola Pia, 92",8201,Vallès Occidental,40,Sabadell,8187
ESCOLA PIA DE CALELLA,Privat,"C. Jovara, 39",8370,Maresme,21,Calella,8035
SANT MARC - SARRIÀ,Privat,"C. Carrasco i Formiguera, 6-16",8017,Barcelonès,13,Barcelona,8019
INST.EMPERADOR CARLES,Públic,"C. Enric Bargés, 9-13",8014,Barcelonès,13,Barcelona,8019
"LA VALL, COL·LEGI",Privat,"Ctra. Sabadell a Bellaterra, km. 4.600",8198,Vallès Occidental,40,Sabadell,8187
LA MERCED - BARCELONA,Privat,"C. Provença, 283",8037,Barcelonès,13,Barcelona,8019
LA SALLE GRÀCIA,Privat,"Pl. del Nord, 14",8024,Barcelonès,13,Barcelona,8019
SHALOM,Privat,"Rbla. de Catalunya, 83",8008,Barcelonès,13,Barcelona,8019
EL CLOT,Privat,"C. València, 680",8027,Barcelonès,13,Barcelona,8019
INST.LA SEDETA,Públic,"C. Indústria, 67-73",8025,Barcelonès,13,Barcelona,8019
INST.VIC,Públic,"Av. Sant Bernat Calbó, 8",8500,Osona,24,Vic,8298
INST.MEDITERRANIA-MASNOU,Públic,"C. Rosa Sensat, s/n",8320,Maresme,21,El Masnou,8118
NATZARET,Privat,"C. Milà i Pi, 29-31/Lluís Millet, s/n",8950,Baix Llobregat,11,Esplugues de Llobregat,8077
INST.LLUIS DE REQUESENS,Públic,"C. Felip Canalias, 19-23",8750,Baix Llobregat,11,Molins de Rei,8123
GRANES,Privat,"Ptge. de la Concepció, 15",8008,Barcelonès,13,Barcelona,8019
ESCOLA PIA DE TERRASSA,Privat,"C. Col·legi, 14-16",8221,Vallès Occidental,40,Terrassa,8279
INST.PIUS FONT I QUER,Públic,"C. Amadeu Vives, s/n",8240,Bages,7,Manresa,8113
INST.CRISTOFOL FERRER,Públic,"C. Rafael de Casanova, s/n",8330,Maresme,21,Premià de Mar,8172
